file,model,condition,language_mix,metric,value
06_hsrlayout_fan.mp3,sarvam,fan_noise,hinglish,latency_ms,577.1471000043675
06_hsrlayout_fan.mp3,sarvam,fan_noise,hinglish,rtf,0.16122740912440284
06_hsrlayout_fan.mp3,whisper,fan_noise,hinglish,wer,
06_hsrlayout_fan.mp3,whisper,fan_noise,hinglish,cer,
06_hsrlayout_fan.mp3,whisper,fan_noise,hinglish,locality_strict,
06_hsrlayout_fan.mp3,whisper,fan_noise,hinglish,locality_fuzzy,
06_hsrlayout_fan.mp3,whisper,fan_noise,hinglish,edit_distance,
06_hsrlayout_fan.mp3,whisper,fan_noise,hinglish,latency_ms,
06_hsrlayout_fan.mp3,whisper,fan_noise,hinglish,rtf,
07_btmlayout_noise.mp3,deepgram,background_noise,hinglish,wer,1.4285714285714286
07_btmlayout_noise.mp3,deepgram,background_noise,hinglish,cer,0.6410256410256411
07_btmlayout_noise.mp3,deepgram,background_noise,hinglish,locality_strict,0.0
07_btmlayout_noise.mp3,deepgram,background_noise,hinglish,locality_fuzzy,0.0
07_btmlayout_noise.mp3,deepgram,background_noise,hinglish,edit_distance,6.0
07_btmlayout_noise.mp3,deepgram,background_noise,hinglish,latency_ms,1913.7768000000506
07_btmlayout_noise.mp3,deepgram,background_noise,hinglish,rtf,0.5698697022897599
07_btmlayout_noise.mp3,sarvam,background_noise,hinglish,wer,1.8571428571428572
07_btmlayout_noise.mp3,sarvam,background_noise,hinglish,cer,0.8461538461538461
07_btmlayout_noise.mp3,sarvam,background_noise,hinglish,locality_strict,0.0
07_btmlayout_noise.mp3,sarvam,background_noise,hinglish,locality_fuzzy,0.0
07_btmlayout_noise.mp3,sarvam,background_noise,hinglish,edit_distance,6.0
07_btmlayout_noise.mp3,sarvam,background_noise,hinglish,latency_ms,539.6640999970259
07_btmlayout_noise.mp3,sarvam,background_noise,hinglish,rtf,0.1606970154522556
07_btmlayout_noise.mp3,whisper,background_noise,hinglish,wer,0.7142857142857143
07_btmlayout_noise.mp3,whisper,background_noise,hinglish,cer,0.38461538461538464
07_btmlayout_noise.mp3,whisper,background_noise,hinglish,locality_strict,1.0
07_btmlayout_noise.mp3,whisper,background_noise,hinglish,locality_fuzzy,1.0
07_btmlayout_noise.mp3,whisper,background_noise,hinglish,edit_distance,0.0
07_btmlayout_noise.mp3,whisper,background_noise,hinglish,latency_ms,19909.115200000087
07_btmlayout_noise.mp3,whisper,background_noise,hinglish,rtf,5.9283828458346255
08_bellandur_tv.mp3,deepgram,tv_noise,hinglish,wer,1.6
08_bellandur_tv.mp3,deepgram,tv_noise,hinglish,cer,0.5806451612903226
08_bellandur_tv.mp3,deepgram,tv_noise,hinglish,locality_strict,0.0
08_bellandur_tv.mp3,deepgram,tv_noise,hinglish,locality_fuzzy,1.0
08_bellandur_tv.mp3,deepgram,tv_noise,hinglish,edit_distance,3.0
08_bellandur_tv.mp3,deepgram,tv_noise,hinglish,latency_ms,2465.5630000015663
08_bellandur_tv.mp3,deepgram,tv_noise,hinglish,rtf,0.8294111908504933
08_bellandur_tv.mp3,sarvam,tv_noise,hinglish,wer,2.0
08_bellandur_tv.mp3,sarvam,tv_noise,hinglish,cer,0.8709677419354839
08_bellandur_tv.mp3,sarvam,tv_noise,hinglish,locality_strict,0.0
08_bellandur_tv.mp3,sarvam,tv_noise,hinglish,locality_fuzzy,1.0
08_bellandur_tv.mp3,sarvam,tv_noise,hinglish,edit_distance,3.0
08_bellandur_tv.mp3,sarvam,tv_noise,hinglish,latency_ms,545.2300000033574
08_bellandur_tv.mp3,sarvam,tv_noise,hinglish,rtf,0.18341444270128643
08_bellandur_tv.mp3,whisper,tv_noise,hinglish,wer,2.2
08_bellandur_tv.mp3,whisper,tv_noise,hinglish,cer,0.8709677419354839
08_bellandur_tv.mp3,whisper,tv_noise,hinglish,locality_strict,0.0
08_bellandur_tv.mp3,whisper,tv_noise,hinglish,locality_fuzzy,1.0
08_bellandur_tv.mp3,whisper,tv_noise,hinglish,edit_distance,3.0
08_bellandur_tv.mp3,whisper,tv_noise,hinglish,latency_ms,22834.309900001244
08_bellandur_tv.mp3,whisper,tv_noise,hinglish,rtf,7.681422931150901
09_silkboard_traffic.mp3,deepgram,traffic,hinglish,wer,1.5
09_silkboard_traffic.mp3,deepgram,traffic,hinglish,cer,0.6829268292682927
09_silkboard_traffic.mp3,deepgram,traffic,hinglish,locality_strict,0.0
09_silkboard_traffic.mp3,deepgram,traffic,hinglish,locality_fuzzy,1.0
09_silkboard_traffic.mp3,deepgram,traffic,hinglish,edit_distance,3.0
09_silkboard_traffic.mp3,deepgram,traffic,hinglish,latency_ms,2109.974899998633
09_silkboard_traffic.mp3,deepgram,traffic,hinglish,rtf,0.7521019092382679
09_silkboard_traffic.mp3,sarvam,traffic,hinglish,wer,2.125
09_silkboard_traffic.mp3,sarvam,traffic,hinglish,cer,0.8292682926829268
09_silkboard_traffic.mp3,sarvam,traffic,hinglish,locality_strict,0.0
09_silkboard_traffic.mp3,sarvam,traffic,hinglish,locality_fuzzy,1.0
09_silkboard_traffic.mp3,sarvam,traffic,hinglish,edit_distance,2.0
09_silkboard_traffic.mp3,sarvam,traffic,hinglish,latency_ms,617.2493000049144
